,index,longitude,latitude,dryland_assessment_region,Aridity_zone,land_use_category,tree_cover,B1,B2,B3,B4,B5,B6,B7,B10,B11,pixel_qa,radsat_qa,sr_aerosol,B1_sd,B2_sd,B3_sd,B4_sd,B5_sd,B6_sd,B7_sd,B10_sd,B11_sd,sr_aerosol_sd,pixel_qa_sd,radsat_qa_sd,plot_id
21,21,135.54679319999997,-18.922006,Australia,Semiarid,Non-forest,0.0,692.0,872.0,1339.0,1372.0,3027.0,2963.0,1752.0,2998.0,2968.0,322,0,96,1081.6550281859738,1069.1419879867176,1084.8904355476902,1139.8546022566713,1238.9102661690424,1444.1696741100222,1081.312531360009,100.64189225263245,93.41278081209026,41.35168563386388,129.8989350739002,0,462
22,22,145.0689352,-27.33773,Australia,Semiarid,Non-forest,0.0,337.0,459.0,862.5,1576.0,2440.5,3511.5,2751.0,3042.0,3020.0,322,0,96,1007.9026830111392,981.0785203835087,928.3400352525101,837.1023627905214,768.0400140343567,834.8178748748294,735.62923119563,159.6391572463216,149.21513962978702,33.781963421796235,206.1233917622621,0,500
23,23,139.15802069999998,-32.304860999999995,Australia,Semiarid,Non-forest,0.0,511.0,687.5,1254.0,2121.5,3023.5,3473.0,3002.5,2904.0,2893.0,325,0,88,1833.3905337627286,1798.305310262537,1657.3533683255362,1517.046086756751,1386.1760170896805,1100.9367255927402,955.01582085592,209.9172234274486,201.6176600674252,43.741909079612405,255.3701804792686,0,369
24,24,143.7573949,-33.959257,Australia,Semiarid,Non-forest,0.0,660.0,819.0,1331.0,1986.0,2901.0,3426.0,2658.0,2876.0,2862.0,322,0,96,1480.3798910925598,1415.5191764947554,1334.5013698372745,1222.5986253797635,908.2169223532343,833.979855140691,743.1325440651759,201.6858823069955,184.9156696390244,45.74030618345376,276.4716189730168,0,339
25,25,130.5880929,-29.816964000000002,Australia,Arid,Non-forest,0.0,387.0,534.0,983.0,1692.0,2602.0,3348.0,2701.0,2933.0,2921.0,322,0,96,2195.8808743385225,2167.624529294684,1987.305943805763,1826.1335514192408,1612.5654552975666,785.1027503272604,642.1109383454368,222.04604842024915,209.60450285966573,47.86011362492234,292.7685905609542,0,496
26,26,122.32359220000001,-20.902844,Australia,Arid,Non-forest,0.0,552.5,690.0,1258.5,2478.5,3472.5,4290.5,3761.0,3103.5,3059.5,322,0,96,139.62548578984885,140.0700168322422,170.49112880147166,238.81373360628643,360.45084927572265,359.56523248258634,287.8967229353663,98.9447398220923,99.6228657719471,21.84743134581857,113.00937106593395,0,77
27,27,117.90388100000001,-24.631344,Australia,Arid,Non-forest,0.0,469.0,714.5,1403.5,2385.0,3489.5,4570.0,3546.5,3036.5,3010.5,322,0,96,2437.862953274316,2398.9617551414985,2180.916091317688,1971.296807340685,1700.0969817538119,1187.4809904295641,1070.399876091567,200.12503328511508,185.6111952158966,47.19266223070121,206.23979400585847,0,133
28,28,139.28378480000003,-24.281102,Australia,Arid,Non-forest,0.0,767.0,983.0,1772.0,3051.0,3938.0,5268.0,4586.0,3059.0,3022.0,322,0,96,601.7919184662696,577.7912724725552,464.18216556464415,394.14577367909334,409.64067526099365,604.2848574049236,603.1844768653393,149.8622701015836,149.4643702686295,38.34885061425366,140.84947191016997,0,493
29,29,135.3850965,-30.428438,Australia,Arid,Non-forest,0.0,323.0,473.0,937.0,1867.0,2582.0,3607.0,2982.0,2994.0,2979.0,322,0,96,1825.938871349411,1816.2815559478079,1717.4552770222076,1527.7384889031864,1381.9367792720336,501.39987368699377,418.5755606817006,203.1402518083551,186.86633878638645,45.59072587395693,222.7691951004768,0,322
30,30,127.71348390000001,-26.33307700000001,Australia,Arid,Non-forest,0.0,387.0,478.0,888.0,1972.0,2841.0,3654.0,3308.0,3012.0,2989.0,322,0,96,1510.4506853013352,1499.7583705252234,1449.958764576542,1299.588463288684,1187.5841954757875,621.9878593937358,541.2652612203674,170.54740974969985,166.17185970109898,46.6991041039405,193.02972389842037,0,403
31,31,136.121715,-29.766785,Australia,Arid,Non-forest,0.0,559.0,691.5,1220.0,2127.0,2651.0,4082.0,3229.0,2973.0,2960.0,322,0,96,1274.4713374162131,1244.857837668481,1165.2024944522805,1028.2262717757228,952.6388525519023,488.0653171192157,326.9250039200938,163.37316824438074,159.93822123219184,34.974422377984126,223.5054687054236,0,9
32,32,135.8342541,-28.488704,Australia,Arid,Non-forest,0.0,598.0,746.0,1436.0,2851.0,3772.0,5267.0,4637.0,2994.0,2980.0,322,0,96,586.3285159118807,552.6909753973863,391.8067307815351,187.04370510404144,260.0212628668224,753.5901595505534,691.3263270527098,171.26601419735212,155.7288088465391,27.087160901694475,201.16209999945443,0,350
33,33,139.75090880000002,-24.255862,Australia,Arid,Non-forest,0.0,760.0,1038.0,1542.0,2007.0,2833.0,3770.0,2805.0,3059.0,3034.0,322,0,160,786.6710041527548,738.1419307161888,704.0435555157374,649.3171938134843,562.2037770742222,306.0912248736707,343.4332298995097,146.49246901551243,136.47474393170808,46.03899361200594,139.7046574182401,0,485
34,34,121.0479845,-24.690808999999998,Australia,Arid,Non-forest,0.0,215.0,368.0,770.0,1452.0,2147.0,2998.0,2431.0,3038.0,2984.0,322,0,160,903.0141437760813,865.0360604997413,744.2399592598239,647.8387009558322,610.091005578446,558.750051349475,468.4346147586593,169.64762241031755,160.83997350168698,57.25902977896211,251.004997503894,0,69
35,35,55.34520465,41.25651685,CentralAsia,Arid,Non-forest,0.0,1936.0,2228.0,3054.0,3599.0,4229.0,4598.0,3846.0,2973.0,2951.0,322,0,96,1358.0228274959152,1252.6057401875807,1120.8849417453957,1057.7381445594842,1000.3076456595303,1168.4700573201699,972.5011492950107,215.76768967209327,202.81148161783986,41.05850910092379,249.28595102836616,0,243
36,36,90.45136596,43.49305241,CentralAsia,Arid,Non-forest,0.0,4023.0,4211.0,4384.0,4728.0,5038.0,2113.0,1730.0,2708.0,2706.0,480,0,8,3830.0422370221636,3967.701857282478,4082.8757520981103,4295.073415724654,3631.5636949814148,1440.831533202514,1194.3977257483064,145.4163927235416,140.42558689407514,75.71896470608678,256.48125534517015,0,48
37,37,85.2052047,41.19830602,CentralAsia,Arid,Non-forest,0.0,1665.0,1922.0,2645.0,3032.0,3563.0,3475.0,3187.0,2873.0,2861.0,336,0,96,1800.6015325013345,1710.423569897684,1499.9443940013755,1447.7908109293755,1341.1633372245844,980.8349053426176,843.0925238941179,219.74921567200542,210.07422223146241,89.52198913374042,282.3189923854548,0,422
